;DEPENDANTS;CHILD_TOTAL;PERSONAL_INCOME;LOAN_NUM_TOTAL;LOAN_NUM_CLOSED;GENDER;SOCSTATUS_WORK_FL;SOCSTATUS_PENS_FL;AGE;AGREEMENT_RK;TARGET
93;0;2;6000.0;1;1;1;0;1;63;74190360;0
94;1;1;15000.0;1;0;1;1;0;33;62023684;0
95;1;1;16000.0;1;1;0;1;0;38;61079700;0
96;1;1;10000.0;1;1;1;1;0;29;72285109;0
97;1;1;8000.0;2;1;1;1;0;49;73827016;0
98;0;2;6000.0;1;0;1;1;0;50;61372316;0
99;0;0;12000.0;1;1;0;1;0;48;59939829;0
100;2;2;11000.0;1;0;1;1;0;42;64839795;0
101;1;1;18000.0;1;0;0;1;0;39;64563165;0
102;0;0;17000.0;2;2;1;1;0;61;66524810;0
103;2;2;14000.0;1;0;1;1;0;42;60096783;0
104;0;0;10000.0;2;2;1;1;0;23;65482083;0
105;0;0;15000.0;4;4;1;1;0;28;74467755;0
106;0;0;30000.0;1;1;1;1;1;56;64445162;0
107;1;1;18000.0;1;1;1;1;0;28;66700908;0
108;1;1;25000.0;1;0;0;1;0;27;61110489;0
109;0;1;11000.0;3;2;1;1;0;46;74544319;0
110;1;1;15000.0;1;1;1;1;0;38;64995451;0
111;2;2;8700.0;1;0;1;1;0;35;64827687;0
112;1;1;20000.0;1;0;1;1;0;37;67421931;1
113;1;2;15000.0;2;2;0;1;0;49;75017098;0
114;3;3;40000.0;2;2;0;1;0;37;74460711;1
115;2;2;20000.0;1;0;1;1;0;36;60086903;0
116;0;2;12000.0;1;1;0;1;0;51;61054691;0
117;0;0;10000.0;1;0;1;1;0;47;73830243;1
118;0;0;20000.0;1;1;1;1;0;46;75021931;0
119;1;1;55000.0;1;0;1;1;0;28;62590815;1
120;0;2;20000.0;1;1;1;1;0;53;60465966;0
121;1;1;9000.0;2;2;0;1;0;26;66420656;0
122;0;4;14000.0;2;2;0;1;0;61;66773911;1
123;0;2;7000.0;1;0;1;1;0;48;60466295;0
124;1;1;16000.0;1;0;1;1;0;30;61111863;0
125;0;1;20000.0;1;0;0;1;0;22;64898724;1
126;0;2;8000.0;1;1;1;1;0;53;61235487;0
127;0;1;11500.0;1;1;1;1;0;56;61299664;0
128;0;2;8000.0;1;0;0;1;0;54;62994403;0
129;1;1;35000.0;1;0;0;1;0;40;67322945;0
130;0;1;9000.0;1;0;0;0;1;56;67426389;0
131;0;0;9000.0;1;1;1;1;0;46;61302471;0
132;0;0;15000.0;1;0;1;1;0;52;61151598;0
133;2;2;12000.0;1;0;0;1;0;32;62185166;1
134;0;1;7000.0;1;1;0;0;1;59;64592177;0
135;1;1;17000.0;2;2;0;1;0;35;67533565;0
136;0;0;8000.0;1;0;0;1;0;26;61234815;0
137;1;1;11000.0;3;2;0;1;0;39;74187392;0
138;2;3;20000.0;2;1;1;1;0;40;74984325;0
139;0;3;7000.0;1;1;0;1;0;57;59963388;0
140;1;1;20000.0;2;2;1;1;0;60;66521201;0
141;0;0;8600.0;3;2;1;1;0;45;66849149;0
142;2;2;45000.0;1;0;0;1;0;40;64359123;0
143;0;1;8000.0;1;1;0;1;0;38;62508107;0
144;0;0;15000.0;1;0;0;1;0;22;61428784;0
145;0;3;12000.0;2;1;0;1;0;49;67316365;0
146;0;1;8500.0;3;2;1;0;1;53;63810875;1
147;0;1;15000.0;1;0;1;1;0;40;66913678;0
148;0;3;17000.0;3;3;0;1;0;57;66584918;0
149;0;0;21000.0;1;1;0;1;0;34;64003837;0
150;0;1;6000.0;1;0;1;1;1;56;63911375;1
151;2;2;15000.0;1;0;1;1;0;32;64437168;0
152;0;0;7000.0;1;0;1;1;0;23;74016494;0
153;0;0;11000.0;1;0;1;0;1;54;67435863;0
154;1;1;6000.0;1;0;1;1;0;33;63891476;0
155;2;1;14000.0;4;4;0;1;0;33;67083166;0
156;0;0;12000.0;1;1;0;1;0;23;61537559;0
157;1;1;20000.0;1;1;0;1;0;34;63604196;0
158;0;2;6000.0;1;0;1;0;1;64;63898906;0
159;2;2;20000.0;3;2;1;1;0;37;66741910;0
160;0;3;12000.0;1;0;1;1;0;44;61974001;0
161;1;1;16000.0;2;2;0;1;0;26;66761419;0
162;2;2;10000.0;2;2;1;1;0;43;67217992;0
163;0;1;15000.0;1;0;1;1;0;49;61367683;0
164;0;1;10000.0;2;0;1;1;0;44;62255169;0
165;0;0;15000.0;1;0;1;1;0;60;63273839;0
166;1;1;10000.0;1;0;1;1;0;34;75289228;0
167;0;0;10000.0;1;0;1;1;0;53;63922027;0
168;0;3;14000.0;3;3;1;1;0;56;74551521;0
169;1;2;7000.0;1;0;1;1;0;49;64367877;0
170;0;0;30000.0;1;1;1;1;0;49;60051963;1
171;1;2;11000.0;1;0;1;0;1;34;61872969;0
172;2;4;9340.0;3;3;1;1;0;41;66741232;1
173;0;0;13000.0;1;0;1;1;0;26;66199923;0
174;0;1;13000.0;1;0;1;1;0;40;60389929;0
175;1;2;7500.0;1;0;1;1;0;42;63001854;0
176;1;1;7000.0;1;0;1;1;0;37;61149628;0
177;1;1;7800.0;1;0;1;1;0;38;75202163;0
178;1;1;7000.0;1;0;1;1;0;45;62032105;0
179;0;2;8200.0;2;1;1;1;0;49;67438464;0
180;1;1;6700.0;1;1;1;1;0;39;61938570;0
181;1;1;80000.0;2;1;1;1;0;36;61466005;0
182;0;2;15000.0;1;0;0;1;0;42;64912588;1
183;1;1;10000.0;1;0;0;1;0;29;63599601;0
184;0;2;20000.0;1;0;1;1;0;45;64886008;0
185;0;2;14000.0;1;1;1;1;0;51;67084430;0
186;0;0;13000.0;1;1;1;1;0;56;60059563;0
187;1;1;16000.0;1;0;0;1;0;33;74481609;0
188;0;0;15000.0;1;0;1;1;0;24;61111134;0
189;2;2;22000.0;1;0;0;1;0;46;61298098;1
190;1;1;30000.0;1;0;0;1;0;39;61309526;0
191;1;2;25000.0;1;0;0;1;0;49;60059582;0
192;0;0;7000.0;1;0;1;1;0;49;74041324;0
193;0;2;20000.0;1;0;0;1;1;49;63002506;0
194;1;1;16000.0;1;0;0;1;0;26;72272351;0
195;0;0;8000.0;1;0;0;0;1;61;67419243;0
196;1;1;22000.0;1;0;0;1;0;42;60106578;0
197;0;1;15000.0;3;2;1;1;0;39;67070426;0
198;0;1;20000.0;1;0;1;1;0;52;62141879;0
199;1;1;11000.0;2;2;1;1;0;38;66534703;0
200;1;1;9000.0;1;1;1;1;0;49;61530018;0
201;2;2;12800.0;1;0;1;0;1;51;63921231;0
202;0;2;7000.0;1;0;1;1;0;60;61538643;1
203;1;1;10500.0;2;2;1;1;0;42;74555752;0
204;0;3;7000.0;1;0;1;0;1;57;65201789;0
205;1;2;20000.0;1;0;1;1;0;41;61164289;0
206;1;2;8000.0;3;1;1;1;0;47;61438860;0
207;1;1;12000.0;1;1;1;1;0;34;62605205;1
208;2;2;5500.0;1;0;1;1;0;32;64346113;0
209;0;2;30000.0;1;0;1;1;0;38;74274221;1
210;1;1;8000.0;1;1;1;1;0;26;65501297;0
211;1;1;18000.0;4;4;0;1;0;39;66521740;0
212;1;1;25000.0;1;0;0;1;0;35;67316223;0
213;0;1;24000.0;1;1;0;1;0;37;61127390;0
214;0;0;10500.0;1;1;1;1;0;22;66077870;0
215;0;2;7000.0;2;1;0;0;1;61;66895275;0
216;3;3;16000.0;1;1;0;1;0;36;61540822;0
217;1;1;9000.0;2;1;1;1;0;27;67533844;0
218;0;1;15000.0;1;0;0;1;0;43;61522740;0
219;2;4;6000.0;3;3;1;1;0;60;74181771;0
220;2;2;9000.0;1;0;1;1;0;38;60383583;0
221;0;2;15000.0;1;0;1;1;0;42;61517342;0
222;0;0;30000.0;1;0;0;1;0;23;64363709;1
223;1;1;15000.0;3;3;0;1;0;31;66849191;0
224;0;0;6000.0;3;3;1;0;1;63;75276828;0
225;1;1;15000.0;1;0;1;1;0;27;61153739;1
226;1;1;18000.0;3;3;1;1;0;39;67217364;0
227;2;2;13000.0;1;0;1;1;0;43;62991727;0
228;0;2;5200.0;2;2;1;0;1;60;61420110;0
229;0;0;20000.0;1;0;1;1;0;33;61378216;0
230;0;1;6000.0;1;1;1;1;0;49;65227755;0
231;1;1;13000.0;1;0;0;1;0;26;60048649;0
232;1;1;12000.0;1;0;0;1;0;38;66964461;1
233;1;1;9000.0;1;0;1;1;0;27;64825946;1
234;1;1;15000.0;2;2;1;1;0;36;66772955;0
235;1;2;12000.0;1;0;1;1;0;42;67323570;0
236;0;0;12650.0;2;1;1;1;0;46;74982312;0
237;1;1;9000.0;1;1;0;1;0;27;61962648;0
238;0;0;40000.0;1;1;1;1;0;43;59961282;0
239;1;1;30000.0;1;0;0;1;0;30;60460976;1
240;0;0;10000.0;1;1;1;1;0;24;65480352;0
241;4;4;11500.0;1;0;0;1;0;41;64429925;0
242;0;0;6000.0;1;1;1;1;0;36;63986316;0
243;1;1;15000.0;1;0;0;1;0;42;63584839;1
244;0;3;30000.0;1;0;1;1;1;56;67423403;1
245;2;2;16000.0;1;0;0;1;0;30;73848706;0
246;0;1;7100.0;3;3;1;1;0;47;66591984;0
247;0;1;6000.0;1;0;1;1;0;53;62377524;0
248;1;1;8000.0;1;0;1;1;0;23;66158890;0
249;0;0;12000.0;1;0;0;1;0;43;61151983;0
250;1;1;29000.0;2;2;1;1;0;37;67148327;0
251;0;2;7000.0;1;0;1;1;0;55;60108759;0
252;2;2;13000.0;1;0;1;1;0;26;75277061;0
253;0;0;6500.0;2;2;1;0;1;58;61456826;0
254;1;1;9000.0;1;0;1;1;0;29;64361215;0
255;0;0;21000.0;1;0;1;1;0;26;66664448;1
256;4;4;5000.0;1;1;1;1;0;34;61128012;0
257;0;0;15000.0;1;0;0;1;0;24;62086372;1
258;0;2;10000.0;1;0;1;1;0;43;67530654;0
259;1;1;7800.0;2;2;1;1;0;37;66431039;0
260;0;0;14000.0;1;1;1;1;0;23;65419884;0
261;1;1;30000.0;1;0;0;1;0;45;62236119;0
262;0;2;12000.0;2;2;1;1;0;49;67140209;0
263;1;1;7000.0;1;0;1;1;0;37;74177264;0
264;0;0;15000.0;1;0;1;1;0;48;63600552;0
265;2;3;30000.0;2;0;0;1;0;42;62248078;0
266;2;0;11000.0;1;0;1;1;0;40;65207556;1
267;0;0;9330.0;1;0;1;1;1;56;61244479;0
268;1;1;16000.0;1;1;1;1;0;36;64279518;0
269;0;2;12000.0;1;1;1;1;0;53;61082604;0
270;1;1;18000.0;1;0;0;1;0;33;67319516;0
271;0;2;21000.0;3;3;1;1;1;54;67170275;0
272;0;2;12000.0;1;0;1;1;0;50;72263345;0
273;1;1;10000.0;1;1;1;1;0;25;66080261;0
274;1;1;7000.0;1;1;1;1;0;26;65413785;0
275;0;2;7850.0;1;0;1;1;0;42;62037803;0
276;1;1;20000.0;2;1;0;1;0;42;73826301;0
277;1;4;6700.0;1;0;1;1;1;54;61832441;0
278;0;0;10000.0;2;1;0;1;0;26;59923612;0
279;0;2;10000.0;3;3;1;1;0;54;66323676;0
280;0;0;15000.0;1;0;0;1;0;26;61381122;1
281;1;1;30000.0;7;6;0;1;0;33;67413927;0
282;1;1;12000.0;1;1;0;1;0;31;66405513;0
283;0;0;8000.0;2;2;1;1;0;25;65416756;0
284;0;3;17000.0;1;0;1;1;1;62;63001956;0
285;1;1;18000.0;1;1;1;1;0;29;60464401;0
286;1;3;13000.0;1;0;1;1;0;46;63915922;0
287;1;1;25000.0;1;1;0;1;0;33;73822653;0
288;0;0;15000.0;2;2;1;1;0;54;74947649;0
289;0;0;15000.0;1;0;0;0;1;54;62794114;0
290;0;0;18000.0;1;0;0;1;1;56;64455108;0
291;1;1;12000.0;1;1;0;1;0;42;61104584;0
292;1;1;35000.0;1;1;1;1;0;39;59925539;0
293;1;2;9000.0;1;0;1;1;0;42;62594920;0
294;1;1;17000.0;2;2;1;1;0;27;66536598;1
295;2;2;35000.0;1;1;1;1;0;39;62505743;0
296;1;2;20000.0;1;0;0;1;0;46;64915501;0
297;0;2;5000.0;1;0;1;0;1;59;62386987;0
298;0;0;20000.0;2;2;0;1;0;24;74952294;0
299;0;1;10000.0;1;0;1;1;1;56;60451886;0
300;0;0;6500.0;1;0;1;0;1;59;62025473;0
301;1;2;8000.0;3;2;1;1;0;47;67028464;0
302;1;1;35000.0;1;0;1;1;0;37;63601542;0
303;2;2;6500.0;1;0;1;1;0;23;66195988;0
304;0;2;6000.0;1;0;1;0;1;58;63602995;0
305;0;0;5000.0;2;1;1;1;0;32;74039205;0
306;2;2;10000.0;2;1;1;1;0;35;67228601;0
307;1;2;15000.0;2;2;0;1;0;45;66748130;0
308;1;1;30000.0;1;0;1;1;0;35;74835083;0
309;1;1;7000.0;1;1;0;1;0;47;61121711;0
310;2;2;10000.0;1;1;0;1;0;43;66925735;0
311;2;2;7000.0;1;1;0;1;0;26;63600601;0
312;0;2;12000.0;2;1;1;1;0;67;63813472;0
313;2;2;8500.0;1;0;0;1;0;44;64832999;0
314;2;2;10000.0;1;1;1;1;0;33;64593619;0
315;0;1;4300.0;1;0;1;1;0;53;74033974;0
316;2;2;13200.0;1;0;0;1;0;40;62375991;0
317;1;1;15000.0;1;0;1;1;0;28;73816704;0
318;1;1;20000.0;2;1;1;1;0;52;61934183;0
319;1;1;15000.0;1;0;1;1;0;40;60442571;0
320;1;1;5000.0;2;1;1;1;0;44;74035080;0
321;2;2;20000.0;1;0;0;1;0;33;64276037;0
322;0;1;15000.0;1;1;0;1;0;44;59925110;0
323;1;1;10000.0;1;1;1;1;0;24;67165268;0
324;1;2;18000.0;1;1;0;1;0;46;61451918;0
325;0;2;25000.0;1;1;0;1;0;61;61099710;0
326;0;1;25000.0;1;0;1;1;1;53;64353970;0
327;0;0;13000.0;3;3;1;1;0;55;66781896;0
328;2;2;8000.0;1;0;0;1;0;35;66967312;0
329;2;2;25000.0;1;0;1;1;0;34;74281522;0
330;0;0;16000.0;1;1;0;1;0;22;61832255;0
331;1;1;10000.0;1;0;0;1;0;33;72279205;1
332;0;0;8000.0;1;0;1;1;0;54;61290106;0
333;2;2;16000.0;2;1;0;1;0;49;61366540;0
334;0;0;15000.0;1;0;0;1;0;23;63907163;1
335;2;2;11000.0;1;0;1;1;0;35;62624047;0
336;0;0;10000.0;2;1;1;1;0;45;60059705;0
337;0;0;15000.0;1;0;0;1;0;28;61539417;0
338;0;0;12000.0;1;0;1;1;0;22;72260930;0
339;0;0;5000.0;1;0;1;0;1;61;63907021;0
340;1;2;30000.0;1;1;1;1;0;48;61139557;0
341;1;1;10000.0;1;0;1;1;0;39;60397606;0
342;0;0;9500.0;1;0;0;1;0;32;60379339;0
343;2;2;7000.0;1;1;1;1;0;36;61916582;0
344;1;2;8500.0;1;0;1;1;0;38;64554862;0
345;2;2;12000.0;1;0;1;1;0;28;66920725;0
346;0;0;15000.0;1;1;1;1;0;27;61109861;0
347;0;0;17000.0;3;3;1;1;0;31;74817798;0
348;0;0;8000.0;1;0;0;0;1;64;62251874;0
349;0;0;20000.0;1;1;1;1;0;28;61357184;1
350;0;6;5200.0;2;1;1;0;1;60;61382118;0
351;0;1;13000.0;1;1;1;1;0;43;67139640;0
352;0;0;18000.0;1;0;1;1;0;27;62769451;0
353;0;1;34000.0;1;1;0;1;0;35;74279545;0
354;1;1;10000.0;3;1;1;1;0;22;67163936;0
355;0;1;7000.0;2;1;1;1;1;63;75006199;0
356;1;1;12000.0;1;0;0;1;0;44;61243750;0
357;0;0;5000.0;1;1;1;1;0;52;65241813;0
358;0;2;16000.0;2;1;1;1;0;51;67430113;0
359;0;0;8000.0;2;2;1;1;0;34;66332501;0
360;1;1;23000.0;1;0;1;1;0;25;72289574;0
361;0;0;10000.0;1;1;0;1;0;28;61047844;0
362;0;0;10000.0;4;4;1;1;0;59;74957512;0
363;1;1;25000.0;1;1;0;1;0;36;63600604;0
364;0;1;7000.0;1;0;0;1;0;42;66897742;0
365;0;2;10000.0;5;4;1;1;0;54;67205921;0
366;1;1;15000.0;1;0;0;1;0;37;61156071;1
367;1;1;5000.0;1;0;1;1;0;34;64431399;0
368;1;1;20000.0;3;3;0;1;0;41;66758603;0
369;0;0;15000.0;1;1;1;1;0;28;61049943;1
370;1;1;6000.0;1;0;1;1;0;37;60191052;0
371;0;0;7500.0;1;0;0;1;0;30;61373589;1
372;1;1;15000.0;1;1;0;1;0;38;61125296;0
373;1;1;8000.0;1;0;0;1;0;34;61963763;1
374;1;1;7000.0;2;2;1;1;0;27;66830429;0
375;0;0;15000.0;1;0;1;1;0;48;74832290;0
376;0;0;6000.0;1;1;1;1;0;22;74022444;0
377;0;1;4000.0;1;0;1;1;0;30;62082932;0
378;1;1;40000.0;1;1;0;1;0;30;67068628;0
379;2;2;29000.0;1;0;0;1;0;35;60096935;0
380;0;1;13000.0;1;0;1;1;0;55;64904574;0
381;2;2;6000.0;1;0;1;1;0;41;61838823;0
382;0;0;9000.0;1;0;1;1;1;54;64365785;0
383;1;1;15000.0;1;0;1;1;0;30;61850415;0
384;3;3;10000.0;2;2;0;1;0;36;66526955;0
385;0;0;13000.0;1;1;0;1;0;48;62501063;0
386;0;2;25000.0;1;0;1;1;0;40;60456876;1
387;1;1;14000.0;1;0;1;1;0;33;64909201;0
388;1;1;20000.0;1;0;0;1;0;32;64842766;0
389;0;0;5582.0;1;0;1;0;1;59;61302184;0
390;0;0;10000.0;2;2;1;1;0;50;66533416;1
391;0;0;11000.0;1;0;1;1;0;44;62990756;0
392;1;1;19000.0;2;1;1;1;0;47;61030680;0
393;0;2;10500.0;3;2;1;1;0;60;66745598;0
394;1;1;20000.0;1;1;0;1;0;38;61132394;1
395;0;0;16000.0;1;0;0;1;0;40;67329643;0
396;1;1;25000.0;1;0;0;1;0;29;65217809;0
397;0;1;18000.0;1;0;0;1;0;28;63891395;0
398;0;0;19000.0;1;0;0;1;0;56;62445027;0
399;2;2;20000.0;1;0;1;1;0;33;62143669;0
400;0;0;15000.0;2;1;0;1;0;22;64594349;1
401;2;2;14000.0;1;0;1;1;0;42;64456185;0
402;0;4;16000.0;2;1;1;1;0;51;73850417;0
403;0;1;10000.0;1;0;0;1;0;48;62590364;0
404;0;2;10000.0;1;0;1;1;1;49;61833272;0
405;0;2;13000.0;1;0;0;1;0;61;62136452;0
406;0;0;6000.0;1;1;1;0;1;48;62487752;0
407;0;2;18000.0;2;2;0;1;0;47;67212866;0
408;1;1;12000.0;1;0;1;1;0;27;66968607;1
409;1;3;10000.0;1;0;1;1;0;51;61866577;1
410;1;1;40000.0;1;0;1;1;0;43;62094383;0
411;1;1;5400.0;1;0;1;0;1;40;61841922;0
412;0;3;10000.0;4;3;1;1;0;56;74190441;0
413;0;0;18000.0;1;0;1;1;0;46;62142972;0
414;3;3;25000.0;1;0;0;1;0;39;60095959;0
415;1;1;10000.0;1;0;1;1;0;44;62138885;0
416;1;1;16000.0;1;1;0;1;0;33;61941452;0
417;0;0;35000.0;1;1;0;0;1;44;65256008;1
418;1;1;6000.0;1;0;1;1;0;27;59966861;0
419;0;0;11000.0;1;0;1;0;1;63;61955750;0
420;1;1;15000.0;2;2;0;1;0;37;67169157;0
421;0;0;30000.0;1;0;1;1;0;43;67543528;0
422;0;1;35000.0;1;0;0;1;0;57;75067935;0
423;2;2;10000.0;1;0;1;1;0;44;62141250;0
424;0;1;10000.0;1;0;0;1;0;45;63598373;0
425;0;0;5800.0;1;0;1;1;0;45;62086196;0
426;0;1;12000.0;1;1;1;1;1;60;61039219;0
427;0;2;12000.0;1;1;1;1;1;56;61361094;0
428;0;0;10000.0;1;1;1;1;0;47;63631379;0
429;0;0;15000.0;3;2;0;1;0;27;74561839;1
430;1;2;22000.0;1;0;0;1;0;49;61832884;0
431;1;1;5000.0;1;0;1;1;0;34;62600462;0
432;0;2;12000.0;1;1;1;0;1;57;75281731;0
433;0;1;25000.0;1;1;0;1;1;66;61059343;0
434;0;1;11000.0;1;0;0;1;0;44;60443823;0
435;0;0;15000.0;1;0;1;1;0;28;65225338;0
436;0;2;14000.0;3;2;0;1;1;55;74663587;0
437;2;2;6000.0;1;0;0;1;0;41;60393522;0
438;0;1;6000.0;1;0;1;0;1;58;62592042;0
439;0;3;12000.0;1;0;1;1;1;60;64907608;0
440;0;0;7300.0;2;2;0;1;0;50;67071916;0
441;0;0;14000.0;2;2;1;1;0;25;65415799;0
442;1;2;14000.0;1;1;1;1;0;40;61976722;1
443;0;0;11000.0;1;0;0;1;0;28;62029852;0
444;0;0;9000.0;1;1;1;1;0;26;66083832;0
445;1;1;10000.0;2;2;0;1;0;36;74663590;0
446;6;6;15000.0;1;0;0;1;0;39;64429995;0
447;0;0;8000.0;1;0;1;1;0;60;62442666;0
448;0;1;15000.0;1;0;0;1;0;46;59974935;0
449;1;2;25000.0;1;1;1;1;0;36;61138829;0
450;0;2;5000.0;2;2;1;0;1;61;74190998;0
451;1;1;10000.0;1;0;1;1;0;25;62022556;1
452;0;0;10000.0;1;1;1;0;1;63;74645885;0
453;0;2;13000.0;2;2;1;1;1;56;65240644;0
454;0;0;17000.0;1;0;1;1;0;51;73818402;0
455;0;3;5000.0;1;0;1;1;0;38;64433703;0
456;0;2;7000.0;1;1;0;1;0;56;61309398;0
457;2;2;4300.0;1;0;1;1;0;35;61243297;0
458;0;2;7600.0;1;0;1;1;0;40;60097017;0
459;1;1;8000.0;1;0;1;0;1;54;61315483;0
460;1;1;12000.0;3;2;0;1;0;41;66851213;0
461;1;1;6500.0;1;1;1;1;0;32;61523599;0
462;0;0;15000.0;1;0;1;1;0;51;62146488;0
463;0;2;20000.0;1;0;0;1;0;34;64435040;0
464;0;0;15000.0;1;0;0;1;0;31;62603435;0
465;0;0;8000.0;1;0;0;1;0;35;75273363;0
466;0;1;11000.0;1;0;1;1;0;34;63087762;0
467;0;0;9700.0;1;0;1;1;0;31;75275876;0
468;0;0;12000.0;1;1;1;1;0;50;63628270;1
469;1;2;19000.0;2;1;1;1;0;37;62240204;0
470;0;0;12000.0;2;2;1;1;0;60;66593248;0
471;0;0;7000.0;1;0;1;1;0;54;74031928;0
472;0;0;15600.0;1;0;1;1;1;52;64912309;1
473;0;0;35000.0;1;0;0;1;0;41;64454829;0
